article_id,article_publish_date,title,topic_desc,country_desc
691194,25/10/2018,"Canada&#39;s Mandatory Privacy Breach Reporting Requirements coming into force November 1, 2018",Privacy,Canada
709050,20/07/2018,"Medical Marijuana: If You Can't Measure Residual Impairment, You Can't Manage Risk – And In A Safety Sensitive Position, That&#39;s Undue Hardship In Re Lower Churchill Transmission Construction Employers' Assn. Inc. And IBEW, Local 1620 (Tizzard)",Employment and HR,Canada
715494,02/07/2018,Ontario Welcomes New Cabinet - Expect Quick Action,"Government, Public Sector",Canada
715230,02/07/2018,Modern Slavery Act tabled in Parliament,"Government, Public Sector",Australia
715262,02/07/2018,Queensland Government Bulletin - 27 June 2018,"Government, Public Sector",Australia
715442,02/07/2018,That's A Hypothetical! And Other Common Discovery Objections: Are They Legally Correct?,"Litigation, Mediation & Arbitration",Canada
715180,02/07/2018,Defamation Update: Google under fire again,"Litigation, Mediation & Arbitration",Australia
715182,02/07/2018,Learning the ABCC of investigations,Real Estate and Construction,Australia
715184,02/07/2018,Employers: get ready for key changes to workplace laws on 1 July,Employment and HR,Australia
715186,02/07/2018,Assessment of damages for lost opportunity in aviation claim,"Litigation, Mediation & Arbitration",Australia
715228,02/07/2018,Employer risk management: Misleading and deceptive conduct in recruitment,Employment and HR,Australia
715232,02/07/2018,New Long Service Leave Act 2018 for Victorian employers,Employment and HR,Australia
715234,02/07/2018,New national guidance material on work-related psychological health and safety,Employment and HR,Australia
715236,02/07/2018,NSW Government Bulletin - 27 June 2018 - Part 1: NSW Charter for Public Participation,"Government, Public Sector",Australia
715238,02/07/2018,NSW Government Bulletin - 27 June 2018 - Part 2,"Government, Public Sector",Australia
715244,02/07/2018,Planning & Environment News – 25 June 2018,Real Estate and Construction,Australia
715246,02/07/2018,Protecting confidential information: The Notice Period,Employment and HR,Australia
715252,02/07/2018,Family and domestic violence leave to be included in modern awards,Employment and HR,Australia
715268,02/07/2018,Precedent only a possibility for Melbourne man suing Google for defamation,"Litigation, Mediation & Arbitration",Australia
715276,02/07/2018,Superannuation guarantee amnesty – limited opportunity to correct compulsory superannuation errors before heavy-handed audit activity starts,Finance and Banking,Australia
715278,02/07/2018,Australian Law Reform Commission releases key proposals for class action reform,"Litigation, Mediation & Arbitration",Australia
715302,02/07/2018,Proposed reforms to provide greater protection to NSW off-the-plan property buyers,Real Estate and Construction,Australia
714126,02/07/2018,The Queen&#39;s Own Copyright: Supreme Court Of Canada To Decide On Copyright Ownership For Works Submitted To Government Registry,Intellectual Property,Canada
715342,02/07/2018,Individuals and small businesses - How to make the most of your tax planning opportunities in thhe new financial year,Tax,Australia
714130,02/07/2018,CSA Publishes Harmonized Response To Concerns Regarding Client-Registrant Relationship,Corporate/Commercial Law,Canada
714176,02/07/2018,Cannabis Act Receives Final Approval From Senate,"Food, Drugs, Healthcare, Life Sciences",Canada
714188,02/07/2018,Court Of Appeal Summaries (June 18 – 22),"Litigation, Mediation & Arbitration",Canada
714192,02/07/2018,Food Fight: Restaurants Can&#39;t Recover Lost Profits From Supplier When They Lose Business After A Meat Recall,"Litigation, Mediation & Arbitration",Canada
714480,02/07/2018,Securities Regulators Provide Guidance On Token Offerings,Corporate/Commercial Law,Canada
714488,02/07/2018,Update On Biosimilars,"Food, Drugs, Healthcare, Life Sciences",Canada
714490,02/07/2018,It Takes Two To Tango: Employee-Duties In The Accommodation Process,Employment and HR,Canada
714516,02/07/2018,Health Canada Issues Updated Guidance On PMNOC Regulations,"Food, Drugs, Healthcare, Life Sciences",Canada
714532,02/07/2018,"Employers, Entrepreneurs…Get Ready! Cannabis Will Be Legal In Canada",Employment and HR,Canada
714698,02/07/2018,Waste Is Picking Up! M&A Developments In The Waste Management And Recycling Industry,Corporate/Commercial Law,Canada
